sizeid	brand	region	gender	height	chest	waist	hips	weight	size
40	gul	GB	female	1.7150	0.9400	0.7350	0.9950		14
60	gul	GB	female	1.7450	0.9950	0.7850	1.0450		16
-140	gul	AA	male	1.6450	0.8850	0.7150	0.8350		S
-120	gul	AA	male	1.6950	0.9400	0.7650	0.8350		MS
-100	gul	AA	male	1.7950	0.9400	0.7650	0.8350		MST
-80	gul	AA	male	1.7450	0.9950	0.8150	0.9400		M
-60	gul	AA	male	1.7950	0.9950	0.8150	0.9400		MT
-40	gul	AA	male	1.7950	1.0450	0.8650	0.9950		ML
-20	gul	AA	male	1.7450	1.1450	0.9150	1.0450		LS
0	gul	AA	male	1.7950	1.0950	0.8700	1.0700		L
20	gul	AA	male	1.9350	1.0950	0.8700	1.0450		LT
40	gul	AA	male	1.8250	1.1450	0.9650	1.0950		XL
60	gul	AA	male	1.9250	1.1450	0.9650	1.0950		XLT
80	gul	AA	male	1.8550	1.1950	1.0050	1.1450		XXL
100	gul	AA	male	1.9250	1.1950	1.0050	1.1450		XXLT
-140	gul	GB	male	1.6450	0.8850	0.7150	0.8350		S
-120	gul	GB	male	1.6950	0.9400	0.7650	0.8350		MS
-100	gul	GB	male	1.7950	0.9400	0.7650	0.8350		MST
-80	gul	GB	male	1.7450	0.9950	0.8150	0.9400		M
-60	gul	GB	male	1.7950	0.9950	0.8150	0.9400		MT
-40	gul	GB	male	1.7950	1.0450	0.8650	0.9950		ML
-20	gul	GB	male	1.7450	1.1450	0.9150	1.0450		LS
0	gul	GB	male	1.7950	1.0950	0.8700	1.0700		L
20	gul	GB	male	1.9350	1.0950	0.8700	1.0450		LT
40	gul	GB	male	1.8250	1.1450	0.9650	1.0950		XL
60	gul	GB	male	1.9250	1.1450	0.9650	1.0950		XLT
80	gul	GB	male	1.8550	1.1950	1.0050	1.1450		XXL
100	gul	GB	male	1.9250	1.1950	1.0050	1.1450		XXLT
-60	henderson	AA	female	1.6510	0.7620	0.6350	0.8382	49.5000	XS-4
-40	henderson	AA	female	1.6764	0.8128	0.6858	0.8890	51.7500	SM-6
-20	henderson	AA	female	1.7018	0.8636	0.7112	0.9398	54.0000	MD-8
0	henderson	AA	female	1.7272	0.9144	0.7874	0.9906	58.5000	LG-10
20	henderson	AA	female	1.7526	0.9652	0.8382	1.0414	63.0000	XL-12
40	henderson	AA	female	1.7780	1.0160	0.8890	1.0922	67.5000	XXL-14
-100	henderson	AA	male	1.6764	0.8890	0.7620		58.5000	XS
-80	henderson	AA	male	1.7272	0.9398	0.8128		64.1250	SM
-60	henderson	AA	male	1.7780	0.9906	0.8636		72.0000	MD
-40	henderson	AA	male	1.7907	1.0160	0.8890		74.2500	M LG
-20	henderson	AA	male	1.8034	1.0414	0.9144		81.0000	LG
0	henderson	AA	male	1.9050	1.0414	0.9144		83.2500	L Long
