sizeid	brand	region	gender	chest	neck	sleeve	torsolength	hips	waist	size
-60	bench	uk	male	1.3100	0.4100					XXL/M
-40	bench	uk	male	1.0400	0.4250					S/L
-20	bench	uk	male	1.1000	0.4250					M/L
0	bench	uk	male	1.1600	0.4250					L/L
20	bench	uk	male	1.2200	0.4250					XL/L
40	bench	uk	male	1.3100	0.4250					XXL/L
60	bench	uk	male	1.0400	0.4400					S/XL
80	bench	uk	male	1.1000	0.4400					M/XL
100	bench	uk	male	1.1600	0.4400					L/XL
120	bench	uk	male	1.2200	0.4400					XL/XL
140	bench	uk	male	1.3100	0.4400					XXL/XL
160	bench	uk	male	1.0400	0.4650					S/XXL
180	bench	uk	male	1.1000	0.4650					M/XXL
200	bench	uk	male	1.1600	0.4650					L/XXL
220	bench	uk	male	1.2200	0.4650					XL/XXL
240	bench	uk	male	1.3100	0.4650					XXL/XXL
-80	cutielondon	europe	female	0.8000					0.6200	36/S
-60	cutielondon	europe	female	0.8400					0.6600	38/S
-40	cutielondon	europe	female	0.8800					0.7000	40/M
-20	cutielondon	europe	female	0.9200					0.7400	42/M
0	cutielondon	europe	female	0.9650					0.7900	44/L
20	cutielondon	europe	female	1.0200					0.8400	46/L
40	cutielondon	europe	female	1.1000					0.9200	48/XL
60	cutielondon	europe	female	1.1200					1.0000	50/XL
-80	cutielondon	us	female	0.8000					0.6200	4/S
-60	cutielondon	us	female	0.8400					0.6600	6/S
-40	cutielondon	us	female	0.8800					0.7000	8/M
-20	cutielondon	us	female	0.9200					0.7400	10/M
0	cutielondon	us	female	0.9650					0.7900	12/L
20	cutielondon	us	female	1.0200					0.8400	14/L
40	cutielondon	us	female	1.1000					0.9200	16/XL
60	cutielondon	us	female	1.1200					1.0000	18/XL
-80	cutielondon	uk	female	0.8000					0.6200	6/S
-60	cutielondon	uk	female	0.8400					0.6600	8/S
-40	cutielondon	uk	female	0.8800					0.7000	10/M
-20	cutielondon	uk	female	0.9200					0.7400	12/M
0	cutielondon	uk	female	0.9650					0.7900	14/L
20	cutielondon	uk	female	1.0200					0.8400	16/L
40	cutielondon	uk	female	1.1000					0.9200	18/XL
60	cutielondon	uk	female	1.1200					1.0000	20/XL
-80	diesel	italy	female	0.7620					0.5715	36-0/XXS
-60	diesel	italy	female	0.8128					0.6223	38-I/XS
-40	diesel	italy	female	0.8636					0.6731	40-II/S
-20	diesel	italy	female	0.9144					0.7239	42-III/M
